id;title;overview;release_date;vote_average
829560;Kolejne 365 dni;Po intrygach Anny małżeństwo Laury i Massimo wisi na włosku. Para właściwie nie spędza razem czasu, więc znudzona kobieta rzuca się w wir pracy w swoim atelier. Nie może jednak zapomnieć Kanaryjczyka Nacho, z którym połączyła ją niezwykła więź. Czy będzie zmuszona dokonać wyboru między mężczyznami?;2022-08-19;6.5
873256;Gorzko, gorzko!;Przypadkowe spotkanie z piękną nieznajomą wywraca do góry nogami życie Tomka - asa agencji reklamowej. Zamiast podpisać lukratywny kontrakt, z dnia na dzień traci on wszystko: pracę, mieszkanie, wypasiony samochód. Postawiony w sytuacji bez wyjścia, wprowadza się do brata - Janka, zakochanego w kwiaciarce Klarze odludka i komputerowego freaka. Tomek, wytrawny podrywacz, proponuje bratu deal. Pomoże mu w miłosnych podbojach, jeśli ten odszuka zjawiskową nieznajomą. Trochę hakerskiej magii i dziewczynę udaje się odnaleźć. Ma na imię Ola i dokładnie za dwa tygodnie wychodzi za mąż, za syna ministra sprawiedliwości! Czasu nie ma zbyt wiele, ale Tomek nie waha się wejść do gry. Wykorzystując cały swój urok, wkrada się w łaski pani ministrowej i składa kobiecie podstępną propozycję. Oferuje, że wspólnie z bratem nakręci film z przygotowań do ślubu jej syna. Lecz tak naprawdę ma tylko jeden cel - uwieść i zdobyć serce Oli.;2023-04-26;6.9
829557;365 dni: Ten dzień;Laura i Massimo znów są razem i jeszcze bardziej między nimi iskrzy. Jednak nowy początek nie będzie dla nich prosty z powodu powiązań rodzinnych Massimo i tajemniczego mężczyzny, który wkracza w życie Laury, by za wszelką cenę zdobyć jej serce i zaufanie. W drugiej części filmowego tryptyku bohaterka Anny-Marii Siekluckiej przejdzie transformację, która przyniesie znaczące zmiany w jej dotychczasowym życiu i związku z Massimo. Na ekran powrócą ulubieńcy - najlepsza przyjaciółka i powierniczka Laury, Olga oraz zaufany pomocnik Don Massima, Domenico - a wraz z nimi nowa postać, zabójczo przystojny i tajemniczy Nacho, na widok którego serca zabiją mocniej. Nie zabraknie także zapierających dech w piersiach włoskich krajobrazów, olśniewających kreacji i eleganckich sportowych samochodów.;2022-04-27;5.8
1049233;Plan lekcji;Po śmierci nauczyciela jego przyjaciel i były policjant podejmuje pracę w szkole, aby zmierzyć się z gangiem podejrzewanym o jego zabójstwo.;2022-11-23;6.3
785398;IO;Oglądany z perspektywy zwierzęcia, świat wydaje się tajemniczą zagadką. IO, szary osiołek o melancholijnych oczach, spotyka na swojej drodze ludzi dobrych i złych, doświadcza radości i bólu. Jego losem rządzi przypadek, który w sekundę zmienia szczęście w rozpacz, a smutek w nieoczekiwaną błogość. Ale IO ani na chwilę nie traci swojej niewinności.;2022-09-30;6.6
1017066;Heaven in Hell;Olga wiedzie spokojne ułożone życie, pracuje jako sędzina, ma dorosłą córkę, Max jest młody i z życia czerpie garściami. Dzieli ich wszystko, a jednak łączy uczycie - gdy skrywane tajemnice wyjdą na jaw ich sytuacja jeszcze bardziej się skomplikuje.;2023-02-10;1.7
1032950;Ostatnia wieczerza;Rok 1987. W odciętym od świata klasztorze zakonnicy prowadzą klinikę dla opętanych. Pewnego dnia do klasztoru przybywa młody milicjant Marek. Udając duchownego, przenika do klasztornego życia i próbuje wyjaśnić niedawne, zagadkowe zniknięcie kilku dręczonych pensjonariuszy. Okazuje się jednak, że z klasztoru nie ma jak się wydostać. Milicjant rozumie, że tak jak on rozpracował duchownych, jednocześnie oni rozpracowali jego. Młody milicjant staje się częścią ogromnej intrygi knutej przez duchownych od lat. Intrygi mającej na celu ożywienie prastarej legendy spowijającej klasztor i tym samym zmianę katolickiego porządku świata... Intrygi, w której Marek z racji swojej mrocznej przeszłości odgrywa kluczową rolę...;2022-10-26;6
471707;Boże Ciało;Boże Ciało to historia 20-letniego Daniela, który w trakcie pobytu w poprawczaku przechodzi duchową przemianę i skrycie marzy, żeby zostać księdzem. Po kilku latach odsiadki chłopak zostaje warunkowo zwolniony, a następnie skierowany do pracy w zakładzie stolarskim. Zamiast się tam udać, Daniel kieruje się do miejscowego kościoła, gdzie zaprzyjaźnia się z proboszczem. Kiedy, pod nieobecność duchownego, niespodziewanie nadarza się okazja, chłopak wykorzystuje ją i udając księdza zaczyna pełnić posługę kapłańską w miasteczku. Od początku jego metody ewangelizacji budzą kontrowersje wśród mieszkańców, szczególnie w oczach surowej kościelnej Lidii.;2019-09-10;7.7
871964;W lesie dziś nie zaśnie nikt 2;Głównym bohaterem filmu jest Adaś, młody, samotny, nieszczęśliwy policjant z małej wsi na Podlasiu. Ignorowany przez swoich kolegów oraz piękną i niezwykle pewną siebie Wanessę, nieśmiały chłopak szuka swojego miejsca na świecie. W sequelu poznamy również dalsze losy Zosi, która pokaże zupełnie nowe i zaskakujące oblicze.;2021-10-27;4.7
1081313;Dzisiaj śpisz ze mną;Nina ma poukładane życie: dobrą pracę, piękne córki i kochającego męża. Jednak z czasem czar w jej związku prysł. Kiedy małżeństwo Niny przeżywa kryzys, kobieta przypadkowo spotyka w pracy młodego i przystojnego stażystę. Jan wywraca jej świat do góry nogami i budzi w niej dziewczynę, którą była kiedyś, zanim została wzorową żoną i matką.;2023-03-01;6.3
