id;title;overview;release_date;vote_average
54989;Amor Estranho Amor;Hugo, um homem de meia idade, ainda guarda na memória a infância realmente singular. Ainda um garoto, sai do Sul do país com a avó e desembarca em São Paulo, onde é deixado na frente de um palacete. Ali mora e trabalha Ana, uma prostituta e amante do governador de São Paulo. O garoto irá conviver daí em diante nesse ambiente com outras garotas de programa como Tamara - uma ninfeta atrevida. Depois de ter leiloada a sua falsa virgindade entre os frequentadores mais ricos, ela seduz Hugo - então garoto com doze anos - e o molesta.;1982-01-11;5.8
197158;Pornô!;"Filme erótico em episódios com argumento e roteiro de Ody Fraga. Em ""As Gazelas"", Castillini mostra a intimidade de duas normalistas numa tarde dedicada ao estudo, David Cardoso, ator e diretor do segundo segmento, ""O Prazer da Virtude"", encarna um fetichista obcecado por hábitos religiosos, em ""O Gafanhoto"", John Doo dirige um drama sobrenatural sobre mulher cega e dominadora que pode ver através dos espelhos.";1981-01-01;4.6
7347;Tropa de Elite;Dois amigos de infância reencontram-se e tornam-se recrutas do BOPE, a polícia de elite do Rio de Janeiro. Ambos são honestos e íntegros, mas movidos por razões bastante pessoais. Ao mesmo tempo, o capitão da recruta procura discretamente um substituto para poder reformar-se da polícia e passar o resto dos seus dias com a família que negligenciou.;2007-10-12;8.1
372519;Os Dez Mandamentos: O Filme;Acolhido pela filha do faraó ainda bebê, Moisés cresce como príncipe do Egito, mas volta-se contra a família adotiva em favor do povo de Israel, que será conduzido à libertação.;2016-01-28;7.2
598;Cidade de Deus;"Cidade de Deus é uma favela que surgiu nos anos 60, tornando-se um dos lugares mais perigosos do Rio de Janeiro, no começo dos anos 80. Para contar a história deste lugar, o filme narra a vida de diversas personagens, todas apresentadas do ponto de vista do narrador, Buscapé. Buscapé é um menino pobre, negro, muito sensível e bastante amedrontado com a idéia de vir a transformar-se num bandido, mas também, suficientemente inteligente para resignar-se a fazer trabalhos muito duros. Buscapé cresceu num ambiente bastante violento. Apesar de ""o mundo estar contra ele"", descobre que pode ver a vida com outros olhos, os de um artista. Acidentalmente, torna-se fotógrafo profissional, e liberta-se.";2002-08-30;8.4
47931;Tropa de Elite 2;Nascimento enfrenta um novo inimigo: as milícias. Ao bater de frente com o sistema que domina o Rio de Janeiro, ele descobre que o problema é muito maior do que imaginava. E não é só. Ele precisa equilibrar o desafio de pacificar uma cidade ocupada pelo crime com as constantes preocupações com o filho adolescente. Quando o universo pessoal e o profissional de Nascimento se encontram, o resultado é explosivo.;2010-10-08;7.8
1092193;Volte Sempre!;Um apresentador de rádio aposentado embala mantimentos para ganhar dinheiro para ir à festa de aniversário de seu ex-empregador, onde espera se reunir com o amor de sua vida.;2023-03-10;6.8
232771;Promiscuidade, os Pivetes de Kátia;"Cansada da morosidade do marido, uma mulher decide buscar novas aventuras ao lado de garotos. Enquanto ela se diverte com seus ""pivetes"", sua família dá vazão a toda sorte de práticas libidinosas.";1984-04-30;5.6
786705;Confissões de Uma Garota Excluída;Quando a esperta, mas socialmente desajeitada, Tetê ingressar numa nova escola, ela fará de tudo para se encaixar. Mas a abelha rainha entre as suas colegas de classe tem outras ideias.;2021-09-22;6.8
755339;Tudo Bem no Natal Que Vem;Um pai de família fica preso no dia 24 de dezembro – logo ele, que odeia o Natal. Agora, este homem rabugento vai aprender o que realmente importa na vida.;2020-12-03;7.4
58235;Bruna Surfistinha;"Raquel (Deborah Secco) era uma jovem da classe média paulistana, que estudava num colégio tradicional da cidade. Um dia ela tomou uma decisão surpreendente: virar garota de programa. Com o codinome de Bruna Surfistinha, Raquel viveu diversas experiências ""profissionais"" e ganhou destaque nacional ao contar suas aventuras sexuais e afetivas num blog, que depois acabou virando um livro e tornou-se um best seller.";2011-02-25;6.4
280960;Catarina e os Outros;"""Porquê eu? Só tenho 16 anos? Como puderam fazer-me isto? Tenho medo... Estou a morrer. Odeio-vos a todos!"" Catarina descobriu que é seropositiva. E não quer morrer sozinha.";2011-03-01;4.6
553608;Cinderela Pop;Cintia Dorella (Maisa Silva) é uma adolescente que descobre uma traição no casamento dos pais. Descrente no amor, ela vai morar na casa da tia e passa a trabalhar como DJ, se tornando a Cinderela Pop. Mas ela não esperava que um príncipe encantado pudesse fazê-la se apaixonar.;2019-02-28;6.5
