id;title;overview;release_date;vote_average
934287;Klienten;En række makabre mord vækker stor uro, da det tyder på, at en seriemorder er på spil. Da den erfarne psykolog Susanne tager imod en ny klient, den unge Mark, forventer hun et møde som mange andre. Men Mark er ikke som alle andre, og opfører sig faretruende, og det står pludselig klart, at Susanne sidder overfor den berygtede seriemorder. Mark giver nu Susanne én time til at kurere ham, ellers ender hun som det næste offer. Det sætter et intenst kapløb med døden i gang, og bagtankerne bag Marks psykologiske spil, viser sig at stikke dybere, end Susanne nogensinde ville have frygtet. Klienten er instrueret af Anders Rønnow Klarlund, som tidligere har stået bag Strings og Hvordan vi slipper af med de andre.;2022-06-20;7.6
519465;Dronningen;Anne regerer med stor myndighed i sit eget liv. Hun er succesfuld og kompromisløs i sit virke som advokat og lykkelig gift med lægen Peter, med hvem hun har to døtre. Men da hun forfører sin 17-årige stedsøn, Gustav, sætter hun alt over styr. DRONNINGEN er en fortælling om begærets pris og løgnes magt og er et portræt af et menneske, der drages mod et valg med uoverskuelige konsekvenser.;2019-03-27;6.9
833339;Gæsterne;Bjørn, Louise og deres datter Agnes møder på en ferie i Toscana det hollandske par Karin og Patrick, der har deres søn Abel med. De to familier har fantastisk kemi, og da Bjørn og Louise tre måneder senere på en kold efterårsdag bliver inviteret til deres landsted i Holland, tøver de i første omgang, men siger hurtigt ja tak – for hvad er det værste, der kan ske? Den gode stemning fra Italien er imidlertid forsvundet, og danskerne oplever fra start en grænseoverskridende opførsel, hvor alle deres sociale spilleregler bliver udfordret. Men hvor meget er de villige til at finde sig i? Hvor lang tid går der, før den høflige facade krakelerer? Og er det i virkeligheden dem selv, der er noget i vejen med?;2022-03-17;6.8
663870;Retfærdighedens ryttere;Den udstationerede militærmand Markus må tage hjem til sin teenagedatter Mathilde, da hans kone dør i en tragisk togulykke. Det ligner en tilfældighed, indtil matematiknørden Otto dukker op med sine to excentriske kollegaer Lennart og Emmenthaler. Otto var selv passager på det forulykkede tog og er overbevist om, nogen må stå bag. Som indicierne hober sig op, står det klart for Markus, at det måske var et nøje orkestreret attentat, som hans kone tilfældigt blev offer for.;2020-11-19;7.3
580175;Druk;Fire gymnasielærere og venner beslutter sig for at teste en teori om, at mennesket er født med en halv promille for lidt. Teorien lyder, at alkohol i blodet åbner sindet for omverdenen og får kreativiteten til at stige. Resultatet er opsigtsvækkende. Både undervisningen og resultaterne løfter sig, og vennerne begynder for alvor at mærke livet igen. I takt med at genstandene ryger indenbords, skrider eksperimentet fremad for nogle og af sporet for andre. Det bliver tydeligt, at alkohol kan skabe store resultater, men også at den slags vovemod kan have konsekvenser.;2020-09-24;7.7
990691;Kærlighed for voksne;Den hårfine grænse mellem kærlighed og had bliver livsfarlig, da en dame opdager sin mands affære — og de tager begge ekstreme midler i brug for at få, hvad de vil have.;2022-08-26;6.3
853361;Du som er i himlen;Et døgn forandrer den 14-årige Lises liv for altid. Hun er den ældste i en søskendeflok og skal som den første i familien i skole, fuld af håb og tro på livet. Men da hendes mor går i fødsel, viser det sig hurtigt, at noget er galt. Som natten trænger sig på og fødslen intensiveres, må Lise forberede sig på, at den dag, der startede i barndom, kan slutte med, at hun bliver kvinden i huset.;2021-09-19;6.7
103663;Jagten;Den 40-årige fraskilte familiefar Lucas står foran en genforening med sin søn, da han anklages for en forbrydelse, han ikke har begået. Nu starter heksejagten i en mindre dansk provinsby. Hvor længe kan et menneske holde til det, når vennerne og kæresten også begynder at tvivle?;2012-10-25;8.1
650031;Skyggen i mit øje;Om morgenen den 21. marts 1945 er nonnerne og skolekammeraterne Rigmor, Eva og Henry fra Den Franske Skole på Frederiksberg klar til at starte skoledagen. Langt derfra - på den anden side af Nordsøen - gør britiske piloter fra Royal Air Force sig klar til en afgørende mission for den danske modstandsbevægelse. De sætter kurs mod Shellhuset, Gestapos Hovedkvarter midt i København. På øverste etage har tyskerne anbragt 26 danske fanger som et levende værn. Angrebet lykkes, men ikke langt derfra rammer tragedien. Et fly er styrtet ned tæt ved Den Franske Skole, og branden får de efterfølgende bombefly til at tro, at målet ligger under røgsøjlen.;2021-10-28;7.8
659940;Marco effekten;Carl Mørck og Afdeling Q begynder at grave i en henlagt kriminalsag om den efterlyste pædofilisigtede embedsmand, William Stark. Ved den danske grænse har politiet anholdt en ung østeuropæisk dreng, Marco, i besiddelse af Starks pas. Det nye fund bringer Carl Mørck og Afdeling Q på sporet af årelang systematisk korruption med ulandsbistand og mod opklaringen af et bestialsk mord.;2021-05-27;5.9
680813;Flugt;Amin er 36 år, veluddannet og succesfuld i sit karrierejob. Alt kører. Men da hans kæreste Kasper frier til ham, gribes han af angst for at give sig hen. Ingen kender nemlig hele sandheden om Amins fortid. Hvis Amin skal turde leve sit liv fuldt ud, må han tage et endeligt opgør med dén hemmelighed, han som barn fik ordre om aldrig at afsløre. En hemmelighed han har båret på i mere end 20 år. Opgøret med fortiden sender Amin tilbage til en lykkelig barndom i 80´ernes Kabul i Afghanistan, hvor a-ha brager igennem hans walkman, og hvor Jean Claude Van Damme hænger på drengeværelset i familiens hus. Men han sendes også tilbage til den nådesløse borgerkrig, der forvandler den trygge og kærlige hverdag til en krigszone og splitter hans familie til atomer. En krig, der sender 11-årige Amin på en farefuld flugt, som først slutter fem år senere, da han ankommer helt alene til Danmark.;2021-06-17;7.8
547066;Skammerens Datter II: Slangens Gave;Dina har til sin store fortrydelse arvet sin mors over-naturlige skammerevner. Hun lever som en nomadisk flygtning sammen med sin familie og Nico, men det er et farligt liv. Dina ser en mystisk fremmed, som påstår at være hendes far, Sezuan. Da Davin og Nico tages til fange og indespærres i det berygtede Sagisborg, tvinges Dina ud på nye eventyr. Imod sin mors vilje stikker hun af og begiver sig ud på en farefuld færd med sin far for at befri fangerne. Sezuan er sortemester med evnen til at få folk til at se og tro på ting, der ikke findes, og Dina forstår, at hun besidder de samme evner. I fangenskab kæmper Nico og Davin for deres liv ved hjælp af mandsmod og intellekt. Hvis de ikke overvinder deres begrænsninger, vil Drakan formå at ødelægge enhver chance for et respektabelt og selvstændigt liv både i Højlandet og i de små byer.;2019-01-24;6.3
