id;title;overview;release_date;vote_average
49046;Im Westen nichts Neues;Der Teenager Paul Bäumer und seine Freunde Albert und Müller schreiben sich während des Ersten Weltkrieges freiwillig in die deutsche Armee ein und reiten auf einer Welle patriotischen Eifers, die sich schnell in Wohlgefallen auflöst. Ernüchtert und schockiert müssen sie feststellen, dass der Kampf um Deutschland keineswegs eine rein ehrenhafte Sache ist, sondern ein tödliches Gemetzel. Sobald sich die jungen Soldaten den brutalen Realitäten des Lebens an der Front stellen, gehören Tod und Verlust zu den täglichen Schreckensszenarien.;2022-10-07;7.8
1063239;Big Mäck: Gangster und Gold;In dem True-Crime-Feature BIG MÄCK: Gangster und Gold wird die unglaubliche Geschichte von Donald Stellwag erzählt, die tragisch und kurios zugleich ist. Produziert wurde die Dokumentation von der bildundtonfabrik, die für Produktionen wie How to Sell Drugs Online (Fast), King of Stonks und Shiny Flakes verantwortlich ist.  In BIG MÄCK: Gangster und Gold  zeichnen Zellengenoss*innen, Jugendfreund*innen und Geschäftspartner*innen ein umfassendes Bild von Donald Stellwag. Und zum ersten Mal erzählt Stellwag selbst seine ganze Geschichte vor der Kamera.;2023-01-20;6.3
86493;Eine Armee Gretchen;"Blutjung wurden Sie zum Kriegsdienst gepresst. Als Krankenschwestern oder Nachrichten Helferinnen - als sogenannte ""Blitzmädchen"". Viele melden sich für den Dienst im Ausland, wo sie noch echte Männer antreffen - Helden in Uniform. Und diese Uniformen über einen so starken erotischen Reiz auf die Mädchen aus, dass sie mit den Trägern hemmungslos ins Bett gehen, nach dem Motto - Morgen könnte es zu spät sein.";1973-01-01;4.4
82023;Hotel Desire;Antonia arbeitet als Hotelmädchen in Berlin. Nachdem die melancholische Mutter ihren Sohn zum Bus nach Paris in den ersten Urlaub ohne Mutter begleitet, läuft alles schief. Blöderweise kommt sie zu spät zur Arbeit und muss ihr schrottreifes Auto auch noch direkt vor dem Eingang parken, was ihr Vorgesetzter, der Direktor des Hotels, natürlich sofort mitbekommt und ihr prompt ankreidet. Immerhin wird sie von ihrem Schichtleiter und Ziehvater ein wenig in Schutz genommen. In einem Gespräch mit ihrer Arbeitskollegin Julia berichtet sie über ihren tristen Alltag und gibt zu, seit acht Jahren keinen Geschlechtsverkehr mehr gehabt zu haben. Etwas später trifft sie unverhofft während ihrer Arbeit in einer Hotelsuite auf den blinden Künstler Julius Pass, mit dem sie die lange Leidenszeit doch glatt beenden könnte...;2011-12-07;6.1
1081291;Faraway;Zeynep ist unzufrieden und ihr Leben ist nicht so gelaufen, wie sie es wollte. Deshalb flüchtet sie auf eine kroatische Insel, wo ihre verstorbene Mutter vor langer Zeit ein Haus gekauft hat. Hier erhofft sie sich endlich Ruhe und Erholung - doch sie hat nicht mit Josip gerechnet, der noch immer auf dem Grundstück lebt …;2023-03-08;6.6
244784;Sechs Schwedinnen im Pensionat;In einem exklusivem Schweizer Mädchenpensionat führt Fräulein Stein ein strenges Regiment. Dies muss auch so sein, denn 6 blonde Schwedinnen, Greta, Inga, Kerstin, Lil, Astrid und Selama sind ihr anvertraut. Es gelingt weder ihr noch dem Gymnatiklehrer Mike, die immer toller werdenden Streiche der skandinavischen Schönen zu unterbinden. So kann es auch nicht ausbleiben, dass die Mädchen, in Schweden zur freien Liebe erzogen, sich auch diesbezüglich gegen Fräulein Stein durchsetzen und selbst den strammen Turnlehrer nicht verschonen. Die treiben ihre liebestollen Streiche mit jedem Mann im Umkreis von vielen Kilometern, so weit wie sie mit ihren roten Fahrrädern ihre Ausflüge machen können.;1979-09-28;5.7
264859;Sechs Schwedinnen auf der Alm;"Sechs skandinavische Blondinen, """"Schwedinnen"""" genannt, kommen in die Schweiz, um die Erbschaft eines Pensionatsdirektors anzutreten. Da sich die Testamentsvollstreckung verzögert, haben die freizügigen Mädels in der als puritanisch bekannten Bergwelt der Schweiz Gelegenheit, sich in Sachen Lust und Alberei auszutoben und die Almbewohner von der freien Liebe zu überzeugen. Bis sich herausstellt, um was für ein Erbe es sich handelt, hat sich die gesamte Gegend grundlegend gewandelt.";1983-07-22;5.5
99361;Sechs Schwedinnen von der Tankstelle;Die 6 jungen Schwedinnen, die im Mädchenpensionat soviel Unheil anrichteten, haben zusammen ins Berufsleben übergewechselt. In der Italienischen Schweiz betreiben sie ein Restaurant mit Tankstelle und seperaten Zimmern für Gäste, die einen kurzen Aufenthalt einlegen, während der Treibstoff in den Tank fließt, um so ihren Tiger loszuwerden...;1980-09-19;6.7
809717;Peterchens Mondfahrt;Die Geschwister Peterchen und Anneliese treffen auf den Maikäfer Sumsemann, dessen sechstes Beinchen auf den Mond verbannt worden ist. Er kann es nur zurückbekommen, wenn er zwei mutige Menschenkinder findet, die ihn auf eine Reise zum Mond begleiten.;2021-06-24;6.4
500259;Mario;Verkrustete Strukturen, kommerzieller Druck auf die Vereine und homophobe Fans machen es schwulen Fußballern unmöglich, sich zu outen. Wie kompliziert der Drahtseilakt zwischen geheim gehaltener Sexualität, Erfolg auf dem Platz und einem Leben im Fokus der Öffentlichkeit ist, zeigt das Drama Mario. Der Film nimmt sich Zeit für seine Charaktere und nutzt sanfte, genau beobachtete Zwischentöne, um die aufgewühlte Gefühlswelt seiner Figuren zu offenbaren. Ehrlich und ohne falsche Scheu zeigt er den zermürbenden Kampf der Sportler um Akzeptanz und das private Glück.;2018-02-22;7.3
