id;title;overview;release_date;vote_average
1008005;La niña de la comunión;Finales de los 80, en un pueblo no determinado. Sara (Carla Campra) acaba de llegar al pueblo y no encuentra su lugar en ese espacio cerrado. Su mejor amiga es Rebe (Aina Quiñones), mucho más extrovertida. Una noche van a una discoteca, toman drogas y durante el trayecto a casa encontrarán una muñeca vestida de comunión. A partir de ese momento, comenzará la pesadilla.;2023-02-10;6.2
816904;Momias;En las entrañas de la tierra, ¡existe una ciudad de momias! Por mandato imperial, la Princesa Nefer debe casarse con Thut, un ex auriga de carros. Ninguno desea el matrimonio, Nefer porque ansía la libertad, y Thut porque es alérgico al matrimonio. Pero los designios de los dioses son irrevocables: Thut deberá desposar a Nefer y custodiar el anillo real que el Faraón le ha otorgado, si algo le ocurriera a este, Thut perdería los ojos y la lengua. Mientras tanto, en nuestro mundo, Lord Carnaby lleva a cabo una excavación arqueológica y encuentra algo único: ¡un anillo de boda real egipcia! Thut debe ir al mundo de los humanos para recuperarlo. Le acompaña Sekhem, su hermano de 12 años, con su mascota cocodrilo, y Nefer. Juntos vivirán una gran aventura en la moderna Londres y descubrirán algo que no entraba en sus planes: enamorarse.;2023-01-05;7.2
994128;Viejos;Manuel (Zorion Eguileor) tiene que mudarse a la casa de su hijo Mario (Gustavo Salmerón) y la familia de éste después de que un terrible suceso acabe con la vida de su anciana mujer. Poco a poco, la realidad se impone: algo incomprensible ocurre con Manuel. Las voces que dice escuchar, las presencias con las que dice hablar. Lena (Irene Anula), la mujer de Mario, quiere echarle de la casa: está segura de que algo espantoso puede ocurrir. Solo Naia (Paula Gallego), la hija adolescente, está de su parte, pero incluso ella empieza a dudar a medida que los fenómenos extraños se suceden en torno a su abuelo, cada vez más perturbado. Es el verano más caluroso de la historia, ha empezado una cuenta atrás y ya es demasiado tarde para pararla.;2023-04-21;5.8
1023313;La Exorcista;Ofelia, una joven monja recién llegada al pueblo de San Ramón, donde se ve obligada a realizar un exorcismo a una mujer embarazada. Cuando la posesión parece haber finalizado, ella descubre que la presencia maligna está tratando de regresar al cuerpo de la víctima. Para evitar esto, tendrá que arriesgarlo todo e incluso exponer sus debilidades a las fuerzas del mal.;2022-11-02;5.8
676841;Infelices para Siempre;María José y Alfredo están a punto de celebrar su 20 aniversario y sus hijos les regalan un viaje al hotel donde celebraron su luna de miel, pero un hechizo les hará repetir el mismo día.;2023-01-26;7
1073413;Fenómenas;Madrid, España, 1998. Los muchos recursos y habilidades de Gloria, Paz y Sagrario, tres mujeres de mediana edad que investigan sucesos paranormales, son puestos a prueba cuando su líder, el padre Pilón, tiene un desagradable encuentro.;2023-04-14;5.9
1104191;Solo Somos Carne;Un día normal para Bans y Uzu, poco sabían que una serie de eventos los enfrentarían cara a cara con una realidad alternativa y su oportunidad de enfrentarse a Dixon, un psicópata perturbado con sangre en sus manos y demonios en su mente.;2022-10-13;7.2
1026563;13 exorcismos;Tras participar en una sesión de espiritismo, la joven Laura comienza a comportarse de manera extraña. Alarmados, sus padres piden ayuda al padre Olmedo, uno de los pocos exorcistas autorizados por el Vaticano para intervenir en casos de posesiones demoníacas.;2022-11-04;5.6
1101799;Fuga de Reinas;Cuando cuatro mujeres finalmente hacen el viaje por carretera que planearon en la escuela secundaria, no tienen idea de las cosas con las que se encontrarán, a veces literalmente.;2023-04-14;7
772515;Huesera;Cuenta la historia de Valeria, una mujer que lleva tiempo intentando tener un hijo. De repente, la misma noche en la que por fin se confirma su embarazo le visita una extraña presencia. A partir de ese momento, la monstruosa criatura la persigue manteniendo en peligro su embarazo, su pareja y la vida de su futuro bebé.;2023-02-10;5.8
850871;Sayen;Sayen, una mujer mapache, descubre una peligrosa conspiración liderada por una corporación que está destruyendo las tierras de su familia y destruyendo los ecosistemas locales en toda América Latina. Sayen tendrá la tarea de llevar el caso ante la justicia y salvar el legado de su familia. Primera entrega de una trilogía.;2023-03-03;6.2
573171;Huevitos Congelados;Sigue las aventuras de Toto y su familia, que tendrán que viajar al Polo Sur para cumplir la promesa de devolver a un oso polar y a unos pingüinos españoles a su hogar.  Para lograr cumplir la promesa, tendrán que superar algunos obstáculos que les enseñarán lo importante que es el trabajo en equipo.;2022-12-14;7.8
790409;El último hereje;Un escritor de best sellers de ficción cínico y famoso por su ateísmo abre las puertas a interrogantes relacionados con el fanatismo y sus límites con la locura.;2022-11-09;5.6
931954;Venus;Lucía, una bailarina de discoteca dada a la fuga, se refugia en un siniestro edificio de la periferia de Madrid donde su hermana Rocío vive con su hija Alba.;2022-12-02;5.6
892048;Todos lo hacen;Cuatro parejas reciben una invitación para pasar un fin de semana en el hotel donde se casaron. Lo que no saben es que el anfitrión quiere chantajearles. Y mucho menos que, al día siguiente, aparecerá muerto.;2022-12-28;6.9
868985;¡Que viva México!;Veinte años atrás, Pancho Reyes, un próspero y “aspiracionista” clasemediero, abandonó su pueblo y se olvidó por completo de su numerosa y empobrecida familia. De manera inesperada, un día recibe la noticia de que su abuelo, Don Francisco Reyes, un viejo y rico minero, ha muerto y que él es uno de sus posibles herederos. Motivado por la avaricia y acompañado de su mujer, sus hijos y su sirvienta, Pancho viaja al remoto y ruinoso pueblo de La Prosperidad, para al fin reencontrarse con su muy resentida familia. Pero la presencia de Pancho, que siempre fue el favorito del abuelo, y al que todos sus parientes consideran un arrogante, ingrato y malagradecido “fifí”, y la posibilidad de que sea uno de los herederos, despiertan la envidia, el rencor y el odio guardado por tantos años, ocasionando una batalla campal. Una guerra a muerte por la herencia en la que todo se vale entre Pancho y su esperpéntica y folclórica familia: Los Reyes de La Prosperidad.;2023-03-23;5.6
