id;title;overview;release_date;vote_average
1102776;AKA;Adam Franco est un agent infiltré, effectuant le sale boulot partout où il est nécessaire. Sa nouvelle mission, intégrer une organisation mafieuse en France pour déjouer un attentat terroriste imninent dans la capitale.;2023-04-28;6.9
901563;Close;'Léo et Rémi, 13 ans, sont amis depuis toujours. Jusqu''à ce qu''un événement impensable les sépare. Léo se rapproche alors de Sophie, la mère de Rémi, pour essayer de comprendre…';2022-11-01;7.8
957752;BDE;L’histoire de quatre amis pour la vie qui se sont rencontrés dans les années 2000 lorsqu’ils étaient à la présidence du BDE du Nantes Institute of Business. À l’époque, ils étaient les « Bioman » : les rois de la fête, des excès et de la « transmutation ». 20 ans plus tard, ils se sont assagis et mènent des vies bien rangées. Sauf… Une fois par an, quand ils se retrouvent pour le WEB : le Week End Des Bioman. Où là, ça « transmute » fort comme ils aiment à le dire. En clair : ça boit et ça chante de façon pathétique. Cette année, direction « la Folie Douce » à Val Thorens pour un week-end de ouf.;2023-01-20;4.8
852046;Athena;'La mort tragique de leur frère cadet dans des circonstances troubles, va en quelques heures faire basculer la vie d''une fratrie dans le chaos.';2022-09-09;6.6
884971;Goliath;France, professeure de sport le jour, ouvrière la nuit, milite activement contre l’usage des pesticides. Patrick, obscur et solitaire avocat parisien, est spécialiste en droit environnemental. Mathias, lobbyiste brillant et homme pressé, défend les intérêts d’un géant de l’agrochimie. Suite à l’acte radical d’une anonyme, ces trois destins, qui n’auraient jamais dû se croiser, vont se bousculer, s’entrechoquer et s’embraser.;2022-03-09;6.9
892535;Joyeuse retraite 2;lls pensaient enfin passer une retraite tranquille… 3 ans ont passé. Marilou et Philippe décident de faire découvrir à leurs petits-enfants leur nouvelle maison de vacances au Portugal. Mais une fois sur place, ils découvrent horrifiés que la maison est encore en chantier ! Ce n’est que le début des galères pour les grands-parents car bientôt… ils perdent les gamins. Il ne leur reste plus que deux jours pour les retrouver, avant que leurs parents ne les rejoignent.;2022-07-20;4.5
643215;'Astérix & Obélix : L''Empire du Milieu';Nous sommes en 50 avant J.C. L’Impératrice de Chine est emprisonnée suite à un coup d’état fomenté par Deng Tsin Quin, un prince félon.  Aidée par Graindemaïs, le marchand phénicien, et par sa fidèle guerrière Tat Han, la princesse Fu-Yi, fille unique de l’impératrice, s’enfuit en Gaule pour demander de l’aide aux deux valeureux guerriers Astérix et Obélix, dotés d’une force surhumaine grâce à leur potion magique.  Nos deux inséparables Gaulois acceptent bien sûr de venir en aide à la Princesse pour sauver sa mère et libérer son pays. Et les voici tous en route pour une grande aventure vers la Chine.  Mais César et sa puissante armée, toujours en soif de conquêtes, ont eux aussi pris la direction de l’Empire du Milieu…;2023-02-01;4.9
948276;Balle perdue 2;Après la mort de Charras, Lino et Julia ont pris la relève et forment la nouvelle équipe de choc de la brigade des stups. Bien déterminé à retrouver les assassins de son frère et de son mentor, Lino continue sa traque et ne laissera personne se mettre en travers de sa route. ;2022-11-10;6.5
755812;Miraculous World : New York, les héros unis;'La classe de Marinette doit se rendre à New York, la ville des super héros, pour la semaine de l''amitié franco-américaine. Ladybug demande à Chat Noir de veiller sur Paris… mais quand Marinette convainc Gabriel de laisser son fils partir avec ses camarades, Adrien a un problème. Étant également Chat Noir en secret, il ne peut pas à la fois veiller sur Paris et être avec sa classe à New York. Comment faire ? De plus, Il y a une chose que Ladybug et Chat Noir ignorent : Papillon se prépare lui aussi à voyager ! Il se pourrait bien que les super héros américains aient besoin d''un peu d''aide !';2020-12-18;8.2
726684;Miraculous World: Shanghai, la légende de Ladydragon;'C''est les vacances, et tout va bien pour Marinette… jusqu’à ce qu’elle apprenne qu''Adrien a dû partir avec son père pour Shanghai, en Chine. Heureusement, c’est là qu’habite son Oncle Wang, dont l’anniversaire approche. Pour retrouver Adrien et découvrir ses origines, Marinette décide d’aller donner en mains propres son cadeau à Oncle Wang. Mais peu après son arrivée, Marinette perd toutes ses affaires, dont son sac, Tikki… et le Miraculous de la coccinelle qui lui permet de devenir Ladybug ! Pour les retrouver, elle va faire équipe avec Fei, ignorant que c''est celle qui a volé ses affaires !';2021-05-15;7.9
